generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-3.2587,-112.714,1,1
1000,0,-2.82815,-74.4274,0.119774,0.436
2000,0,-2.71102,-74.8158,0.474692,0.396
3000,0,-3.74827,-76.3561,0.118617,0.497
4000,0,-3.13219,-74.5839,0.24657,0.416
5000,1,-7.76531,-76.4578,0.934963,0.443511
6000,0,-3.11609,-78.741,0.138872,0.43876
7000,0,-4.49769,-76.1254,0.0309425,0.4005
8000,0,-4.67221,-76.6268,1.68812,0.3785
9000,0,-4.01092,-75.6544,0.516086,0.377
10000,0,-2.67666,-78.2457,0.644516,0.396
11000,1,-7.0793,-76.0561,0.732928,0.464
12000,0,-3.03001,-75.9965,0.670654,0.401
13000,0,-1.93781,-76.1597,0.240204,0.424
14000,0,-2.83086,-74.5212,0.933407,0.411
15000,0,-2.17887,-76.6818,0.493646,0.419
16000,0,-2.39987,-75.8769,0.25813,0.41
17000,0,-4.8577,-76.556,0.945694,0.408505
18000,0,-2.35616,-74.5661,0.473378,0.404818
19000,0,-2.0656,-75.3599,0.0114714,0.459
20000,0,-3.03544,-74.7784,0.603537,0.393
21000,0,-1.83113,-76.1859,0.132288,0.385
22000,1,-8.93373,-80.1357,0.879859,0.414
23000,0,-2.98332,-74.956,0.340571,0.403526
24000,1,-6.31401,-76.6216,1.77394,0.468
25000,0,-2.28305,-74.346,0.371733,0.456
26000,0,-4.50998,-75.3945,0.994674,0.426222
27000,0,-3.35926,-74.4453,0.739897,0.397
28000,0,-2.18309,-74.6713,0.0449998,0.417417
29000,0,-2.9629,-76.1306,0.680919,0.4
30000,0,-2.34349,-75.2922,0.0506937,0.42
31000,0,-2.82155,-75.0929,1.10034,0.433
32000,0,-3.98097,-75.7126,1.28828,0.413857
33000,0,-3.78152,-75.6008,0.341181,0.3935
34000,0,-2.65861,-74.6343,0.0875242,0.352
35000,0,-2.35623,-74.4435,0.282666,0.39
36000,0,-2.30449,-78.1301,0.103278,0.404
